,단어,회귀계수,points
4312,토사,-0.2112145360072267,-0.03252936057163891
1970,사법,-0.21061979300747977,-0.0324376598726267
671,깜놀,-0.21047581295022444,-0.032415460247074646
4206,클릭,-0.21047581295022444,-0.032415460247074646
2927,옛날,-0.21047581295022444,-0.032415460247074646
2725,어망,-0.2102091013478644,-0.03237433720673377
2343,소요,-0.2091699785251375,-0.0322141196182224
4845,혼란,-0.20836234875688703,-0.0320895948834663
27,가이드라인,-0.20766747197830754,-0.03198245501574182
2250,성남,-0.20656911885523035,-0.03181310497851364
357,골프장,-0.20656911885523035,-0.03181310497851364
3263,인구수,-0.20515664934634528,-0.03159532277451438
921,대구시,-0.20502097424347587,-0.03157440365183972
444,과학자,-0.20499444786275098,-0.03157031367069518
3584,정비소,-0.204737553940643,-0.03153070437350425
1664,벤치,-0.2044717033421924,-0.03148971408741241
949,대장,-0.20432934308757614,-0.03146776421181008
86,강산,-0.20373892172591127,-0.03137672984637929
4825,형식,-0.20370053904705174,-0.03137081179693124
3056,워치,-0.20247817080400102,-0.03118234043638457
412,공중,-0.20235959373047535,-0.03116405758053964
4862,화목,-0.20235959373047535,-0.03116405758053964
4267,태운,-0.20235959373047535,-0.03116405758053964
4243,탈북자,-0.20235959373047535,-0.03116405758053964
372,공기,-0.20208620624306703,-0.031121905216060952
102,강화군,-0.2018490707214698,-0.031085342376144687
3241,이어폰,-0.20156349615490116,-0.03104131094175111
3918,천문학,-0.20156349615490116,-0.03104131094175111
1379,물류비,-0.20156349615490116,-0.03104131094175111
503,구실,-0.20152040180645914,-0.03103466642155106
3341,자동식,-0.20152040180645914,-0.03103466642155106
3956,청천,-0.20058132893610245,-0.03088987507693397
1411,미술관,-0.20039287382756565,-0.03086081804693519
1099,딸,-0.20039287382756565,-0.03086081804693519
1109,뚝섬,-0.20039287382756565,-0.03086081804693519
3032,우주,-0.2003899747701547,-0.03086037105455164
3255,익,-0.19927596908078055,-0.030688607619820063
3501,전라남도,-0.19906449620026825,-0.03065600158498949
4813,협력,-0.19886802105504225,-0.030625707982267936
3300,일기장,-0.1984701941207515,-0.030564368869448133
1098,따름,-0.1984701941207515,-0.030564368869448133
1173,류구,-0.1983452111277499,-0.030545098314220476
1895,비난,-0.1977354922581653,-0.03045108855443257
872,다이옥신,-0.19746223703909357,-0.030408956583802826
582,금연,-0.19745474424827927,-0.03040780130470655
2213,선수,-0.1967820034166112,-0.030304074477246257
1176,리기다,-0.19642984980315772,-0.030249777524567478
1089,디자인,-0.19585312554492917,-0.030160855052778324
3705,주둔,-0.1957205862608985,-0.030140419427647225
4770,허리둘레,-0.1956880559787156,-0.03013540373243695
4255,태내,-0.1956880559787156,-0.03013540373243695
2795,여아,-0.1956880559787156,-0.03013540373243695
4559,풀밭,-0.19540727548408318,-0.030092111474036676
3528,전익,-0.19540727548408318,-0.030092111474036676
2775,엑스포,-0.1951551673776312,-0.030053240079841115
3989,총국,-0.1951551673776312,-0.030053240079841115
987,도금,-0.19514173606609342,-0.030051169167434777
4898,환경미화원,-0.19514007144879866,-0.03005091250771863
1270,멕시코,-0.19514007144879866,-0.03005091250771863
4995,히터,-0.19514007144879866,-0.03005091250771863
391,공사장,-0.19460472402341472,-0.029968369740266287
4979,흙,-0.19455593530724616,-0.02996084723158876
632,기저귀,-0.19450736700187746,-0.029953358707042743
3461,저널,-0.19431844291680747,-0.02992422936770034
3788,지붕,-0.19347851566946178,-0.029794724832575614
4127,컨테이너,-0.19347458716695132,-0.02979411911476748
1814,부패,-0.19334946508536932,-0.029774827114108615
1860,분홍빛,-0.19313844859247992,-0.029742291447595104
2035,산하,-0.19304470310407912,-0.029727837260123846
3768,증언,-0.19302347126000655,-0.029724563619335065
2439,술,-0.1925538668033845,-0.02965215745911176
3998,최대치,-0.1925538668033845,-0.02965215745911176
996,도박,-0.1925538668033845,-0.02965215745911176
4235,탄산,-0.1924767542947751,-0.029640267834609935
4257,태반,-0.19244779738136147,-0.02963580310076286
2150,생포,-0.19227959978995507,-0.02960986948454425
2741,억지,-0.19227959978995507,-0.02960986948454425
3387,잔토,-0.19227959978995507,-0.02960986948454425
3781,지마,-0.19216150236893595,-0.029591660584122548
2447,슈퍼마켓,-0.19199115728824967,-0.029565395856368082
3380,작업자,-0.19196835752737237,-0.029561880465668766
1048,동해안,-0.19143253306795038,-0.029479264146523132
851,뉴스데스크,-0.19143253306795038,-0.029479264146523132
2710,양쯔강,-0.19049451730411335,-0.02933463579231832
1271,멘토스,-0.19023713843591247,-0.029294951723510376
1562,방지,-0.19023332697531317,-0.029294364051858368
3638,제일,-0.18994731394243292,-0.029250265012352505
4509,포스트,-0.18992347829479822,-0.02924658990301876
3537,전직,-0.18986116118784319,-0.02923698151373022
2940,오염물,-0.18844495818871956,-0.029018623659971765
1372,물,-0.18800769791518096,-0.02895120450119093
196,게임,-0.1872461815889287,-0.028833789786841812
4357,트랜,-0.18719810850955557,-0.028826377618923815
4217,킬로와트,-0.18719810850955557,-0.028826377618923815
1485,반발,-0.18663824881800606,-0.028740055417425747
684,끈벌레,-0.18639190723833604,-0.028702073137581996
3248,이중,-0.1862876100491269,-0.028685992031693197
3469,저지,-0.18556699868208054,-0.028574884265645917
203,겨자,-0.18548035596966692,-0.02856152522267097
1963,사명감,-0.18548035596966692,-0.02856152522267097
4250,탐사,-0.18526335613875372,-0.028528067012673186
2843,연못,-0.18526335613875372,-0.028528067012673186
4723,해양학,-0.18526335613875372,-0.028528067012673186
3664,조사단,-0.18495968994921927,-0.028481246113800096
2978,왜관읍,-0.18495968994921927,-0.028481246113800096
4076,칠곡,-0.18495968994921927,-0.028481246113800096
4077,칠곡군,-0.18495968994921927,-0.028481246113800096
4109,캐럴,-0.18495968994921927,-0.028481246113800096
1933,빙산,-0.1839979201559139,-0.028332955234592894
4756,행정학,-0.1838876913641438,-0.028315959562074
40,가톨릭,-0.1838876913641438,-0.028315959562074
1400,미래학,-0.1838876913641438,-0.028315959562074
2383,수달,-0.18335319695057573,-0.028233548316606405
3107,유기,-0.18326165923238666,-0.028219434535111776
2323,소득,-0.18305978851449137,-0.02818830901375391
1694,병해충,-0.18296743014394773,-0.02817406869963157
3948,청소년,-0.18239083470383047,-0.028085166089717006
3113,유도,-0.18227233698269452,-0.02806689546885366
362,공감,-0.18225051308120854,-0.02806353054144417
1209,마케팅,-0.18220752132670845,-0.028056901839734083
2726,어머니,-0.1811016701226654,-0.02788639570774576
1511,발사장,-0.1808775904807321,-0.027851845894114602
2256,성산,-0.18050019574738865,-0.027793657128772464
3229,이병우,-0.17999148266250883,-0.02771522098828838
318,고열,-0.17999148266250883,-0.02771522098828838
774,냉각탑,-0.17929323067984856,-0.02760756071330628
2154,생활용수,-0.17929323067984856,-0.02760756071330628
1719,보수,-0.17911449550105726,-0.02758000235475444
370,공군기지,-0.17873002913817,-0.027520723247243417
655,길리건,-0.17873002913817,-0.027520723247243417
4534,폭설,-0.17821593463210214,-0.027441457370075084
674,꼬리,-0.17821593463210214,-0.027441457370075084
1807,부착,-0.17819881255557432,-0.0274388173955199
146,거막,-0.17789860425972426,-0.02739252965343575
1357,무환,-0.17789860425972426,-0.02739252965343575
4350,투쟁,-0.17757721580478364,-0.027342976239633443
1994,사인,-0.17757721580478364,-0.027342976239633443
3620,제기,-0.17744030533024435,-0.027321866640659387
1408,미션,-0.17742544187496298,-0.027319574912568978
4222,타스,-0.1773716029379438,-0.0273112737334702
3214,이란,-0.1773716029379438,-0.0273112737334702
1206,마일,-0.1773716029379438,-0.0273112737334702
1142,레이터,-0.1773716029379438,-0.0273112737334702
3911,처리장,-0.1770382991973915,-0.027259883156355413
