Unnamed: 0,단어,회귀계수,points
2373,수력,-0.2285799356593414,-0.0422547930550935
2587,십만,-0.2280051939957665,-0.0421477705280908
1265,라야,-0.227514862514663,-0.0420564660038108
1916,분산,-0.2274791026587291,-0.0420498071683899
1645,발언,-0.227349238922096,-0.0420256252686924
2608,씨디,-0.2262121966166812,-0.0418138968547867
623,기상청,-0.2260000687097151,-0.0417743965608458
2429,술등,-0.2254577371979941,-0.0416734091215561
1090,도박,-0.2254577371979941,-0.0416734091215561
4726,해하,-0.2254577371979941,-0.0416734091215561
2967,외딴,-0.2254174007440124,-0.0416658980787537
1780,병원,-0.2253802254598229,-0.0416589756767283
4961,후난,-0.2253732572675489,-0.0416576781310777
4962,후베이,-0.2253732572675489,-0.0416576781310777
2292,세탁기,-0.2253368658089324,-0.0416509016850512
1242,떡락안되,-0.2248874431840432,-0.0415672147904756
428,과학자,-0.2245086787727138,-0.0414966851473191
1152,동물실험,-0.2244603318644647,-0.0414876824794745
3379,잔해,-0.224237794311957,-0.0414462438075777
490,구민,-0.2239124307812591,-0.041385657931424
4652,한국,-0.2238068651380352,-0.0413660005747045
344,공감,-0.2220872497531417,-0.0410457913474509
1567,미션,-0.222049980357401,-0.0410388514209327
19,가방,-0.2219444685030812,-0.041019204080234
1295,레이저,-0.2218915402135393,-0.0410093483143209
3119,유치,-0.2218892516775182,-0.0410089221664989
249,계기,-0.2218687341757486,-0.0410051016067131
3104,유사이래,-0.2217059020982762,-0.0409747806790465
269,고군산군도,-0.2217059020982762,-0.0409747806790465
2650,아파트,-0.2209038463886135,-0.0408254300502597
3028,웃,-0.2206288766839189,-0.0407742279980846
3831,진실,-0.220159268540897,-0.0406867823623279
1516,무시,-0.2194287153374756,-0.0405507462005266
1705,배치,-0.2193740721006919,-0.0405405710946402
182,게임,-0.2192430674119423,-0.0405161767384839
817,노트르담,-0.2189124560830913,-0.0404546136709149
730,남도,-0.218900981747909,-0.04045247703732
4022,추가,-0.2181515553745636,-0.0403129265064277
4417,트랜젝션,-0.2178928394322555,-0.0402647510640046
4260,킬로와트,-0.2178928394322555,-0.0402647510640046
3709,주입,-0.2170079044587476,-0.0400999675045379
3550,정기,-0.216858060379034,-0.0400720650692636
1052,더욱이,-0.2162641389636638,-0.0399614710846226
3855,집행정지,-0.215920984650683,-0.0398975723905581
3349,자손,-0.215920984650683,-0.0398975723905581
47,각별,-0.215920984650683,-0.0398975723905581
3507,전원,-0.215920984650683,-0.0398975723905581
3699,주심,-0.215920984650683,-0.0398975723905581
325,곤란,-0.2158800752136714,-0.0398899546527034
183,게재,-0.2156521476267358,-0.039847512303604
2630,아시아,-0.214693065699816,-0.0396689218551875
1887,부착,-0.2141954863518435,-0.039576267707108
3466,적지,-0.2141643313972245,-0.0395704663494141
3491,전문가,-0.2139401359914189,-0.0395287189689956
1529,문화재,-0.2135694569030065,-0.0394596948921571
4158,컨테이너,-0.2129851145073581,-0.039350884614809
4108,침몰,-0.2129851145073581,-0.039350884614809
2982,요청,-0.2124801775040919,-0.0392568603992501
3144,을지로,-0.2122564898014919,-0.0392152075581411
2256,성남,-0.2118930980241655,-0.0391475404500015
335,골프장,-0.2118930980241655,-0.0391475404500015
872,뉴스데스크,-0.2117010005436431,-0.0391117700176504
1429,먼드,-0.2115585333583984,-0.0390852412323784
2727,양쯔강,-0.2115196365901656,-0.0390779982731632
1574,미용,-0.2112812776239594,-0.0390336134990745
3457,저쩌,-0.2109925005168963,-0.0389798403733434
1457,명감,-0.2109712948244795,-0.0389758916657185
188,겨자,-0.2109712948244795,-0.0389758916657185
3795,지연,-0.2108917041908221,-0.0389610711101897
427,과학부,-0.2101273151066308,-0.0388187343759872
1093,도서관,-0.2101273151066308,-0.0388187343759872
2570,실정,-0.210029021323382,-0.0388004311108185
1570,미술관,-0.2095172319464302,-0.0387051309161645
1231,딸,-0.2095172319464302,-0.0387051309161645
1250,뚝섬,-0.2095172319464302,-0.0387051309161645
380,공업,-0.2088126458263806,-0.038573930079619
2038,사법,-0.2085130085782906,-0.0385181346892601
4796,현격히,-0.2083826526696028,-0.0384938611423056
2963,왜관읍,-0.2078709464059207,-0.0383985764241564
4137,캐럴,-0.2078709464059207,-0.0383985764241564
4102,칠곡군,-0.2078709464059207,-0.0383985764241564
4101,칠곡,-0.2078709464059207,-0.0383985764241564
1220,디엠쉽핑,-0.207057476663481,-0.038247100390673
